Date,Price,Open,High,Low,Change %,days
2-Dec-19,1.1079,1.1014,1.1091,1.1003,0.56%,1
3-Dec-19,1.1083,1.1079,1.1095,1.1066,0.04%,2
4-Dec-19,1.1078,1.1082,1.1117,1.1067,-0.05%,3
5-Dec-19,1.1104,1.1079,1.111,1.1078,0.23%,4
6-Dec-19,1.1059,1.1106,1.1111,1.104,-0.41%,5
9-Dec-19,1.1064,1.1056,1.108,1.1052,0.05%,6
10-Dec-19,1.1093,1.1064,1.1098,1.1062,0.26%,7
11-Dec-19,1.113,1.1092,1.1146,1.107,0.33%,8
12-Dec-19,1.113,1.113,1.1156,1.1103,0.00%,9
13-Dec-19,1.1121,1.113,1.1201,1.1112,-0.08%,10
16-Dec-19,1.1144,1.1123,1.116,1.1123,0.21%,11
17-Dec-19,1.115,1.1142,1.1176,1.1128,0.05%,12
18-Dec-19,1.1113,1.115,1.1156,1.1111,-0.33%,13
19-Dec-19,1.1122,1.1113,1.1146,1.1108,0.08%,14
20-Dec-19,1.1079,1.1121,1.1126,1.1065,-0.39%,15
23-Dec-19,1.1088,1.1081,1.1097,1.107,0.08%,16
24-Dec-19,1.1088,1.1089,1.1095,1.1069,0.00%,17
25-Dec-19,1.1091,1.1088,1.1106,1.1072,0.03%,18
26-Dec-19,1.1098,1.1092,1.1111,1.1082,0.06%,19
27-Dec-19,1.1177,1.1097,1.1188,1.1096,0.71%,20
30-Dec-19,1.1199,1.1175,1.1224,1.1171,0.20%,21
31-Dec-19,1.1212,1.1198,1.1241,1.1198,0.12%,22
1-Jan-20,1.1212,1.1214,1.1224,1.1206,0.00%,23
2-Jan-20,1.1172,1.1212,1.1227,1.1164,-0.36%,24
3-Jan-20,1.116,1.1172,1.1182,1.1125,-0.11%,25
6-Jan-20,1.1195,1.1168,1.1208,1.1155,0.31%,26
7-Jan-20,1.1153,1.1198,1.1199,1.1133,-0.38%,27
8-Jan-20,1.1105,1.1154,1.117,1.1102,-0.43%,28
9-Jan-20,1.1106,1.1105,1.1121,1.1092,0.01%,29
10-Jan-20,1.1122,1.1106,1.1131,1.1085,0.14%,30
13-Jan-20,1.1135,1.1125,1.1148,1.1113,0.12%,31
14-Jan-20,1.1128,1.1135,1.1145,1.1103,-0.06%,32
15-Jan-20,1.1151,1.113,1.1165,1.1119,0.21%,33
16-Jan-20,1.1137,1.1151,1.1174,1.1128,-0.13%,34
17-Jan-20,1.109,1.1137,1.1144,1.1086,-0.42%,35
20-Jan-20,1.1095,1.1091,1.1103,1.1076,0.05%,36
